Tf1	R1(final):2	R1(final):3	R1(final):4	R1(final):5	R1(final):6	R1(final):7	R1(final):8	
0	0.00969618	0.00957326	0.008517	0.00974021	0	0.00962605	0.00988776	
0.03448276	0.02049185	0.01959621	0.00924845	0.01908884	0.01868692	0.01868692	0.01002779	
0.06896552	0.04492664	0.04160079	0.01009798	0.03875731	0.03757916	0.03757916	0.01017968	
0.10344828	0.10062001	0.0904948	0.0110922	0.08080452	0.07765475	0.07765475	0.01034498	
0.13793103	0.22059161	0.19495716	0.01226535	0.16861339	0.16103986	0.16103986	0.01052553	
0.17241379	0.43379653	0.38657921	0.01366202	0.33259959	0.3177407	0.3177407	0.0107235	
0.20689655	0.69084983	0.63873556	0.01534083	0.56792389	0.5478496	0.5478496	0.0109415	
0.24137931	0.87634281	0.84374103	0.01737974	0.78970594	0.77328786	0.77328786	0.01118267	
0.27586207	0.96111128	0.94777884	0.01988353	0.92153234	0.9130264	0.9130264	0.01145085	
0.31034483	0.98969482	0.98550754	0.02299447	0.97601596	0.97278879	0.97278879	0.01175074	
0.34482759	0.99763783	0.99654393	0.02690753	0.99373007	0.99273409	0.99273409	0.01208819	
0.37931034	0.99953312	0.99929085	0.0318915	0.99858527	0.99832518	0.99832518	0.01247055	
0.4137931	0.99992182	0.99987676	0.03831764	0.99972762	0.99967012	0.99967012	0.01290718	
0.44827586	0.99998919	0.99998231	0.04669565	0.99995626	0.99994569	0.99994569	0.01341016	
0.48275862	0.99999881	0.99999797	0.05771191	0.99999432	0.99999275	0.99999275	0.01399535	
0.51724138	0.9999999	0.99999982	0.07225364	0.99999943	0.99999924	0.99999924	0.01468394	
0.55172414	0.99999999	0.99999999	0.091382	0.99999996	0.99999994	0.99999994	0.01550484	
0.5862069	1	1	0.11619591	1	1	1	0.01649841	
0.62068966	1	1	0.14754131	1	1	1	0.01772253	
0.65517241	1	1	0.18561872	1	1	1	0.01926292	
0.68965517	1	1	0.22969742	1	1	1	0.02125113	
0.72413793	1	1	0.27817135	1	1	1	0.02389811	
0.75862069	1	1	0.32896376	1	1	1	0.02756002	
0.79310345	1	1	0.38003071	1	1	1	0.03287661	
0.82758621	1	1	0.4297105	1	1	1	0.0410851	
0.86206897	1	1	0.47684687	1	1	1	0.05479137	
0.89655172	1	1	0.52075138	1	1	1	0.07997799	
0.93103448	1	1	0.56109559	1	1	1	0.13090386	
0.96551724	1	1	0.59779311	1	1	1	0.23566827	
1	1	1	0.63089779	1	1	1	0.41222574	
