Tf1	R1(final):2	
0	0.00962605	
0.03448276	0.01868692	
0.06896552	0.03757916	
0.10344828	0.07765475	
0.13793103	0.16103986	
0.17241379	0.3177407	
0.20689655	0.5478496	
0.24137931	0.77328786	
0.27586207	0.9130264	
0.31034483	0.97278879	
0.34482759	0.99273409	
0.37931034	0.99832518	
0.4137931	0.99967012	
0.44827586	0.99994569	
0.48275862	0.99999275	
0.51724138	0.99999924	
0.55172414	0.99999994	
0.5862069	1	
0.62068966	1	
0.65517241	1	
0.68965517	1	
0.72413793	1	
0.75862069	1	
0.79310345	1	
0.82758621	1	
0.86206897	1	
0.89655172	1	
0.93103448	1	
0.96551724	1	
1	1	
