TIME	R1:1	R2:1	R3:1	R1:2	R2:2	R3:2	R1:3	R2:3	R3:3	R1:4	R2:4	R3:4	R1:5	R2:5	R3:5	R1:6	R2:6	R3:6	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2400.00000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2500.00000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2600.00000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2700.00000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2800.00000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2900.00000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3000.00000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3100.00000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3200.00000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3300.00000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3400.00000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3500.00000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3600.00000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3700.00000003	0.02078294	0	0	0.01380878	0	0	0	0.02046667	0	0	0.01415865	0	0	0	0.02019351	0	0	0.01380878	
3800.00000004	0.01561661	0	0	0.01079745	0	0	0	0.0154033	0	0	0.01099201	0	0	0	0.01522595	0	0	0.01079745	
3900.00000004	0.01295984	0	0	0.0102059	0	0	0	0.01280336	0	0	0.01031667	0	0	0	0.01270443	0	0	0.0102059	
4000.00000004	0.01158169	0	0	0.01006753	0	0	0	0.01145662	0	0	0.01010849	0	0	0	0.01140313	0	0	0.01006753	
4100.00000004	0.01086157	0	0	0.01006941	0	0	0	0.01075495	0	0	0.01004458	0	0	0	0.01073016	0	0	0.01006941	
4200.00000005	0.01048367	0	0	0.01011464	0	0	0	0.0103888	0	0	0.01002501	0	0	0	0.0103841	0	0	0.01011464	
4300.00000005	0.01028494	0	0	0.01017344	0	0	0	0.01019835	0	0	0.01001902	0	0	0	0.01020925	0	0	0.01017344	
4400.00000005	0.01018042	0	0	0.01023668	0	0	0	0.01010028	0	0	0.01001719	0	0	0	0.01012444	0	0	0.01023668	
4500.00000005	0.01012554	0	0	0.01030155	0	0	0	0.01005089	0	0	0.01001663	0	0	0	0.0100871	0	0	0.01030155	
4600.00000005	0.01009686	0	0	0.01036722	0	0	0	0.0100272	0	0	0.01001645	0	0	0	0.01007482	0	0	0.01036722	
4700.00000006	0.01008202	0	0	0.01043342	0	0	0	0.01001708	0	0	0.0100164	0	0	0	0.0100758	0	0	0.01043342	
4800.00000006	0.01007449	0	0	0.01050008	0	0	0	0.01001414	0	0	0.01001639	0	0	0	0.01008378	0	0	0.01050008	
4900.00000006	0.01007083	0	0	0.01056716	0	0	0	0.01001498	0	0	0.01001638	0	0	0	0.01009549	0	0	0.01056716	
5000.00000006	0.0100692	0	0	0.01063468	0	0	0	0.01001783	0	0	0.01001638	0	0	0	0.01010917	0	0	0.01063468	
5100.00000006	0.01006866	0	0	0.01070262	0	0	0	0.01002175	0	0	0.01001638	0	0	0	0.01012391	0	0	0.01070262	
5200.00000007	0.01006869	0	0	0.01077099	0	0	0	0.01002622	0	0	0.01001638	0	0	0	0.01013922	0	0	0.01077099	
5300.00000007	0.01006902	0	0	0.01083979	0	0	0	0.010031	0	0	0.01001638	0	0	0	0.01015484	0	0	0.01083979	
5400.00000007	0.01006951	0	0	0.01090903	0	0	0	0.01003593	0	0	0.01001638	0	0	0	0.01017064	0	0	0.01090903	
5500.00000007	0.01007009	0	0	0.01097871	0	0	0	0.01004095	0	0	0.01001638	0	0	0	0.01018655	0	0	0.01097871	
5600.00000008	0.01007071	0	0	0.01104882	0	0	0	0.01004602	0	0	0.01001638	0	0	0	0.01020252	0	0	0.01104882	
5700.00000008	0.01007135	0	0	0.01111938	0	0	0	0.01005111	0	0	0.01001638	0	0	0	0.01021854	0	0	0.01111938	
5800.00000008	0.010072	0	0	0.01119038	0	0	0	0.01005621	0	0	0.01001638	0	0	0	0.0102346	0	0	0.01119038	
5900.00000008	0.01007267	0	0	0.01126183	0	0	0	0.01006133	0	0	0.01001638	0	0	0	0.01025069	0	0	0.01126183	
6000.00000008	0.01007333	0	0	0.01133374	0	0	0	0.01006645	0	0	0.01001638	0	0	0	0.01026681	0	0	0.01133374	
6100.00000009	0.010074	0	0	0.01140609	0	0	0	0.01007157	0	0	0.01001638	0	0	0	0.01028295	0	0	0.01140609	
6200.00000009	0.01007467	0	0	0.01147891	0	0	0	0.0100767	0	0	0.01001638	0	0	0	0.01029912	0	0	0.01147891	
6300.00000009	0.01007534	0	0	0.01155218	0	0	0	0.01008183	0	0	0.01001638	0	0	0	0.01031532	0	0	0.01155218	
6400.00000009	0.01007601	0	0	0.01162591	0	0	0	0.01008697	0	0	0.01001638	0	0	0	0.01033154	0	0	0.01162591	
6500.0000001	0.01007668	0	0	0.01170011	0	0	0	0.01009211	0	0	0.01001638	0	0	0	0.01034779	0	0	0.01170011	
6600.0000001	0.01007735	0	0	0.01177478	0	0	0	0.01009725	0	0	0.01001638	0	0	0	0.01036406	0	0	0.01177478	
6700.0000001	0.01007802	0	0	0.01184992	0	0	0	0.01010239	0	0	0.01001638	0	0	0	0.01038036	0	0	0.01184992	
6800.0000001	0.01007869	0	0	0.01192553	0	0	0	0.01010753	0	0	0.01001638	0	0	0	0.01039668	0	0	0.01192553	
6900.0000001	0.01007936	0	0	0.01200162	0	0	0	0.01011268	0	0	0.01001638	0	0	0	0.01041303	0	0	0.01200162	
7000.00000011	0.01008003	0	0	0.01207819	0	0	0	0.01011783	0	0	0.01001638	0	0	0	0.0104294	0	0	0.01207819	
7100.00000011	0.0100807	0	0	0.01215524	0	0	0	0.01012298	0	0	0.01001638	0	0	0	0.0104458	0	0	0.01215524	
7200.00000011	0.01008137	0	0	0.01223277	0	0	0	0.01012814	0	0	0.01001638	0	0	0	0.01046223	0	0	0.01223277	
7300.00000011	0.01008204	0	0	0.0123108	0	0	0	0.0101333	0	0	0.01001638	0	0	0	0.01047868	0	0	0.0123108	
7400.00000012	0.01008271	0	0	0.01238931	0	0	0	0.01013846	0	0	0.01001638	0	0	0	0.01049515	0	0	0.01238931	
7500.00000012	0.01008338	0	0	0.01246832	0	0	0	0.01014362	0	0	0.01001638	0	0	0	0.01051165	0	0	0.01246832	
7600.00000012	0.01008405	0	0	0.01254783	0	0	0	0.01014879	0	0	0.01001638	0	0	0	0.01052818	0	0	0.01254783	
7700.00000012	0.01008472	0	0	0.01262784	0	0	0	0.01015396	0	0	0.01001638	0	0	0	0.01054473	0	0	0.01262784	
7800.00000012	0.01008539	0	0	0.01270835	0	0	0	0.01015913	0	0	0.01001638	0	0	0	0.01056131	0	0	0.01270835	
7900.00000013	0.01008606	0	0	0.01278937	0	0	0	0.0101643	0	0	0.01001638	0	0	0	0.01057791	0	0	0.01278937	
8000.00000013	0.01008673	0	0	0.0128709	0	0	0	0.01016948	0	0	0.01001638	0	0	0	0.01059454	0	0	0.0128709	
8100.00000013	0.0100874	0	0	0.01295294	0	0	0	0.01017466	0	0	0.01001638	0	0	0	0.0106112	0	0	0.01295294	
8200.00000013	0.01008807	0	0	0.0130355	0	0	0	0.01017984	0	0	0.01001638	0	0	0	0.01062788	0	0	0.0130355	
8300.00000013	0.01008874	0	0	0.01311857	0	0	0	0.01018502	0	0	0.01001638	0	0	0	0.01064459	0	0	0.01311857	
8400.00000014	0.01008941	0	0	0.01320217	0	0	0	0.01019021	0	0	0.01001638	0	0	0	0.01066132	0	0	0.01320217	
8500.00000014	0.01009008	0	0	0.0132863	0	0	0	0.0101954	0	0	0.01001638	0	0	0	0.01067808	0	0	0.0132863	
8600.00000014	0.01009075	0	0	0.01337095	0	0	0	0.01020059	0	0	0.01001638	0	0	0	0.01069487	0	0	0.01337095	
8700.00000014	0.01009142	0	0	0.01345614	0	0	0	0.01020579	0	0	0.01001638	0	0	0	0.01071168	0	0	0.01345614	
8800.00000015	0.01009209	0	0	0.01354186	0	0	0	0.01021099	0	0	0.01001638	0	0	0	0.01072851	0	0	0.01354186	
8900.00000015	0.01009276	0	0	0.01362812	0	0	0	0.01021619	0	0	0.01001638	0	0	0	0.01074538	0	0	0.01362812	
9000.00000015	0.01009344	0	0	0.01371492	0	0	0	0.01022139	0	0	0.01001638	0	0	0	0.01076227	0	0	0.01371492	
9100.00000015	0.01009411	0	0	0.01380226	0	0	0	0.01022659	0	0	0.01001638	0	0	0	0.01077918	0	0	0.01380226	
9200.00000015	0.01009478	0	0	0.01389016	0	0	0	0.0102318	0	0	0.01001638	0	0	0	0.01079613	0	0	0.01389016	
9300.00000016	0.01009545	0	0	0.0139786	0	0	0	0.01023701	0	0	0.01001638	0	0	0	0.01081309	0	0	0.0139786	
9400.00000016	0.01009612	0	0	0.0140676	0	0	0	0.01024223	0	0	0.01001638	0	0	0	0.01083009	0	0	0.0140676	
9500.00000016	0.01009679	0	0	0.01415716	0	0	0	0.01024744	0	0	0.01001638	0	0	0	0.01084711	0	0	0.01415716	
9600.00000016	0.01009746	0	0	0.01424729	0	0	0	0.01025266	0	0	0.01001638	0	0	0	0.01086416	0	0	0.01424729	
9700.00000017	0.01009813	0	0	0.01433797	0	0	0	0.01025788	0	0	0.01001638	0	0	0	0.01088123	0	0	0.01433797	
9800.00000017	0.0100988	0	0	0.01442923	0	0	0	0.0102631	0	0	0.01001638	0	0	0	0.01089833	0	0	0.01442923	
9900.00000017	0.01009948	0	0	0.01452106	0	0	0	0.01026833	0	0	0.01001638	0	0	0	0.01091546	0	0	0.01452106	
10000.00000017	0.01010015	0	0	0.01461346	0	0	0	0.01027356	0	0	0.01001638	0	0	0	0.01093262	0	0	0.01461346	
10100.00000017	0.01010082	0	0	0.01470645	0	0	0	0.01027879	0	0	0.01001638	0	0	0	0.0109498	0	0	0.01470645	
10200.00000018	0.01010149	0	0	0.01480001	0	0	0	0.01028403	0	0	0.01001638	0	0	0	0.010967	0	0	0.01480001	
10300.00000018	0.01010216	0	0	0.01489416	0	0	0	0.01028926	0	0	0.01001638	0	0	0	0.01098424	0	0	0.01489416	
10400.00000018	0.01010283	0	0	0.01498891	0	0	0	0.0102945	0	0	0.01001638	0	0	0	0.0110015	0	0	0.01498891	
10500.00000018	0.0101035	0	0	0.01508424	0	0	0	0.01029974	0	0	0.01001638	0	0	0	0.01101878	0	0	0.01508424	
10600.00000018	0.01010418	0	0	0.01518017	0	0	0	0.01030499	0	0	0.01001638	0	0	0	0.0110361	0	0	0.01518017	
10700.00000019	0.01010485	0	0	0.01527671	0	0	0	0.01031024	0	0	0.01001638	0	0	0	0.01105344	0	0	0.01527671	
10800.00000019	0.01010552	0	0	0.01537385	0	0	0	0.01031549	0	0	0.01001638	0	0	0	0.01107081	0	0	0.01537385	
10900.00000019	0.01010619	0	0	0.01547159	0	0	0	0.01032074	0	0	0.01001638	0	0	0	0.0110882	0	0	0.01547159	
11000.00000019	0.01010686	0	0	0.01556995	0	0	0	0.01032599	0	0	0.01001638	0	0	0	0.01110562	0	0	0.01556995	
11100.0000002	0.01010753	0	0	0.01566892	0	0	0	0.01033125	0	0	0.01001638	0	0	0	0.01112307	0	0	0.01566892	
11200.0000002	0.01010821	0	0	0.01576851	0	0	0	0.01033651	0	0	0.01001638	0	0	0	0.01114055	0	0	0.01576851	
11300.0000002	0.01010888	0	0	0.01586873	0	0	0	0.01034178	0	0	0.01001638	0	0	0	0.01115805	0	0	0.01586873	
11400.0000002	0.01010955	0	0	0.01596957	0	0	0	0.01034704	0	0	0.01001638	0	0	0	0.01117558	0	0	0.01596957	
11500.0000002	0.01011022	0	0	0.01607104	0	0	0	0.01035231	0	0	0.01001638	0	0	0	0.01119314	0	0	0.01607104	
11600.00000021	0.01011089	0	0	0.01617314	0	0	0	0.01035758	0	0	0.01001638	0	0	0	0.01121073	0	0	0.01617314	
11700.00000021	0.01011157	0	0	0.01627589	0	0	0	0.01036285	0	0	0.01001638	0	0	0	0.01122834	0	0	0.01627589	
