TIME	R3:1	R3:2	R3:3	
0	0	0	0	
100	0	0	0	
200	0	0	0	
300	0	0	0	
400	0	0	0	
500	0	0	0	
600	0	0	0	
700	0	0	0	
800	0	0	0	
900	0	0	0	
1000	0	0	0	
1100	0	0	0	
1200	0	0	0	
1300	0	0	0	
1400	0	0	0	
1500	0	0	0	
1600	0	0	0	
1700	0	0	0	
1800	0	0	0	
1900	0	0	0	
2000	0	0	0	
2100	0	0	0	
2200	0	0	0	
2300	0	0	0	
2400.00000001	0	0	0	
2500.00000001	0	0	0	
2600.00000001	0	0	0	
2700.00000001	0	0	0	
2800.00000001	0	0	0	
2900.00000002	0	0	0	
3000.00000002	0	0	0	
3100.00000002	0	0	0	
3200.00000002	0	0	0	
3300.00000003	0	0	0	
3400.00000003	0	0	0	
3500.00000003	0	0	0	
3600.00000003	0	0	0	
3700.00000003	0.01382809	0.01122421	0.01815702	
3800.00000004	0.01224989	0.00919687	0.01260491	
3900.00000004	0.01316222	0.0090804	0.01082176	
4000.00000004	0.01436574	0.00932867	0.01007911	
4100.00000004	0.01574152	0.00970243	0.00978012	
4200.00000005	0.01727632	0.01012809	0.00970398	
4300.00000005	0.0189696	0.01058362	0.00974515	
4400.00000005	0.02082499	0.01106291	0.00984942	
4500.00000005	0.02284859	0.01156471	0.0099884	
4600.00000005	0.02504808	0.01208932	0.01014719	
4700.00000006	0.02743211	0.01263753	0.01031793	
4800.00000006	0.03000988	0.01321029	0.01049649	
4900.00000006	0.03279086	0.01380866	0.01068074	
5000.00000006	0.03578456	0.01443374	0.01086954	
5100.00000006	0.03900041	0.01508668	0.01106234	
5200.00000007	0.04244763	0.01576869	0.01125887	
5300.00000007	0.04613512	0.01648102	0.011459	
5400.00000007	0.05007143	0.01722497	0.01166271	
5500.00000007	0.05426468	0.01800188	0.01187	
5600.00000008	0.05872253	0.01881316	0.0120809	
5700.00000008	0.06345216	0.01966028	0.01229546	
5800.00000008	0.0684602	0.02054475	0.01251372	
5900.00000008	0.07375279	0.02146813	0.01273576	
6000.00000008	0.07933549	0.02243207	0.01296162	
6100.00000009	0.08521333	0.02343826	0.01319136	
6200.00000009	0.09139076	0.02448846	0.01342505	
6300.00000009	0.09787166	0.02558448	0.01366276	
6400.00000009	0.10465931	0.02672821	0.01390453	
6500.0000001	0.11175638	0.02792161	0.01415045	
6600.0000001	0.11916493	0.02916671	0.01440057	
6700.0000001	0.12688637	0.03046559	0.01465497	
6800.0000001	0.13492144	0.03182043	0.0149137	
6900.0000001	0.14327018	0.03323346	0.01517684	
7000.00000011	0.15193191	0.03470699	0.01544447	
7100.00000011	0.16090521	0.03624341	0.01571664	
7200.00000011	0.17018788	0.03784519	0.01599343	
7300.00000011	0.17977692	0.03951487	0.01627491	
7400.00000012	0.18966851	0.04125506	0.01656116	
7500.00000012	0.19985794	0.04306846	0.01685225	
7600.00000012	0.21033968	0.04495784	0.01714826	
7700.00000012	0.22110726	0.04692606	0.01744925	
7800.00000012	0.23215333	0.04897604	0.01775532	
7900.00000013	0.24346962	0.05111078	0.01806652	
8000.00000013	0.25504694	0.05333336	0.01838296	
8100.00000013	0.26687519	0.05564694	0.0187047	
8200.00000013	0.27894336	0.05805475	0.01903182	
8300.00000013	0.29123954	0.06056008	0.01936442	
8400.00000014	0.30375097	0.0631663	0.01970256	
8500.00000014	0.31646405	0.06587683	0.02004633	
8600.00000014	0.32936437	0.06869517	0.02039582	
8700.00000014	0.34243679	0.07162486	0.02075112	
8800.00000015	0.35566545	0.07466951	0.02111231	
8900.00000015	0.36903385	0.07783276	0.02147947	
9000.00000015	0.38252494	0.0811183	0.0218527	
9100.00000015	0.39612114	0.08452985	0.02223208	
9200.00000015	0.40980447	0.08807117	0.02261771	
9300.00000016	0.4235566	0.09174601	0.02300967	
9400.00000016	0.43735895	0.09555817	0.02340807	
9500.00000016	0.45119277	0.09951142	0.02381298	
9600.00000016	0.46503925	0.10360953	0.02422451	
9700.00000017	0.4788796	0.10785625	0.02464275	
9800.00000017	0.49269514	0.11225529	0.0250678	
9900.00000017	0.5064674	0.11681032	0.02549975	
10000.00000017	0.5201782	0.12152494	0.02593871	
10100.00000017	0.53380976	0.12640269	0.02638476	
10200.00000018	0.54734477	0.13144699	0.02683801	
10300.00000018	0.56076643	0.13666119	0.02729856	
10400.00000018	0.57405862	0.14204848	0.02776651	
10500.00000018	0.58720585	0.14761193	0.02824197	
10600.00000018	0.60019342	0.15335441	0.02872503	
10700.00000019	0.61300741	0.15927865	0.0292158	
10800.00000019	0.62563474	0.16538716	0.02971439	
10900.00000019	0.63806324	0.1716822	0.0302209	
11000.00000019	0.65028163	0.17816583	0.03073543	
11100.0000002	0.66227958	0.1848398	0.0312581	
11200.0000002	0.67404773	0.19170559	0.03178901	
11300.0000002	0.68557763	0.19876437	0.03232828	
11400.0000002	0.69686185	0.20601696	0.032876	
11500.0000002	0.70789387	0.21346385	0.03343229	
11600.00000021	0.71866813	0.22110512	0.03399727	
11700.00000021	0.72917998	0.22894049	0.03457104	
11800.00000021	0.7394257	0.23696923	0.03515371	
11900.00000021	0.7494024	0.24519018	0.03574541	
12000.00000022	0.75910805	0.25360176	0.03634623	
12100.00000022	0.76854141	0.26220187	0.0369563	
12200.00000022	0.77770202	0.27098796	0.03757574	
12300.00000022	0.78659011	0.27995698	0.03820465	
12400.00000022	0.79520662	0.28910537	0.03884315	
12500.00000023	0.8035531	0.29842905	0.03949137	
12600.00000023	0.8116317	0.30792343	0.0401494	
12700.00000023	0.8194451	0.31758339	0.04081739	
12800.00000023	0.82699648	0.32740332	0.04149543	
12900.00000024	0.83428948	0.33737704	0.04218365	
13000.00000024	0.84132813	0.34749792	0.04288217	
13100.00000024	0.84811683	0.35775877	0.04359111	
13200.00000024	0.8546603	0.36815196	0.04431059	
13300.00000024	0.86096354	0.37866937	0.04504072	
13400.00000025	0.8670318	0.38930244	0.04578162	
13500.00000025	0.87287052	0.40004216	0.04653342	
13600.00000025	0.87848533	0.41087915	0.04729623	
13700.00000025	0.88388198	0.42180364	0.04807018	
13800.00000025	0.88906633	0.43280554	0.04885539	
13900.00000026	0.89404433	0.44387444	0.04965196	
14000.00000026	0.89882195	0.45499968	0.05046004	
14100.00000026	0.90340524	0.46617036	0.05127973	
14200.00000026	0.9078002	0.47737542	0.05211115	
14300.00000027	0.91201285	0.48860364	0.05295443	
14400.00000027	0.91604917	0.49984371	0.05380968	
14500.00000027	0.91991508	0.51108429	0.05467703	
14600.00000027	0.92361643	0.52231401	0.05555659	
