TIME	R1:1	R2:1	R3:1	R1:2	R2:2	R3:2	R1:3	R2:3	R3:3	
0	0	0	0	0	0	0	0	0	0	
100	0	0	0	0	0	0	0	0	0	
200	0	0	0	0	0	0	0	0	0	
300	0	0	0	0	0	0	0	0	0	
400	0	0	0	0	0	0	0	0	0	
500	0	0	0	0	0	0	0	0	0	
600	0	0	0	0	0	0	0	0	0	
700	0	0	0	0	0	0	0	0	0	
800	0	0	0	0	0	0	0	0	0	
900	0	0	0	0	0	0	0	0	0	
1000	0	0	0	0	0	0	0	0	0	
1100	0	0	0	0	0	0	0	0	0	
1200	0	0	0	0	0	0	0	0	0	
1300	0	0	0	0	0	0	0	0	0	
1400	0	0	0	0	0	0	0	0	0	
1500	0	0	0	0	0	0	0	0	0	
1600	0	0	0	0	0	0	0	0	0	
1700	0	0	0	0	0	0	0	0	0	
1800	0	0	0	0	0	0	0	0	0	
1900	0	0	0	0	0	0	0	0	0	
2000	0	0	0	0	0	0	0	0	0	
2100	0	0	0	0	0	0	0	0	0	
2200	0	0	0	0	0	0	0	0	0	
2300	0	0	0	0	0	0	0	0	0	
2400.00000001	0	0	0	0	0	0	0	0	0	
2500.00000001	0	0	0	0	0	0	0	0	0	
2600.00000001	0	0	0	0	0	0	0	0	0	
2700.00000001	0	0	0	0	0	0	0	0	0	
2800.00000001	0	0	0	0	0	0	0	0	0	
2900.00000002	0	0	0	0	0	0	0	0	0	
3000.00000002	0	0	0	0	0	0	0	0	0	
3100.00000002	0	0	0	0	0	0	0	0	0	
3200.00000002	0	0	0	0	0	0	0	0	0	
3300.00000003	0	0	0	0	0	0	0	0	0	
3400.00000003	0	0	0	0	0	0	0	0	0	
3500.00000003	0	0	0	0	0	0	0	0	0	
3600.00000003	0	0	0	0	0	0	0	0	0	
3700.00000003	0.01096766	0	0	0.01367842	0	0	0.02078294	0	0	
3800.00000004	0.00993471	0	0	0.01070255	0	0	0.01561661	0	0	
3900.00000004	0.00999972	0	0	0.01011927	0	0	0.01295984	0	0	
4000.00000004	0.01006529	0	0	0.0099831	0	0	0.01158169	0	0	
4100.00000004	0.01013166	0	0	0.00998529	0	0	0.01086157	0	0	
4200.00000005	0.01019876	0	0	0.01003028	0	0	0.01048367	0	0	
4300.00000005	0.01026645	0	0	0.01008866	0	0	0.01028494	0	0	
4400.00000005	0.01033468	0	0	0.01015141	0	0	0.01018042	0	0	
4500.00000005	0.01040342	0	0	0.01021579	0	0	0.01012554	0	0	
4600.00000005	0.01047263	0	0	0.01028094	0	0	0.01009686	0	0	
4700.00000006	0.01054232	0	0	0.01034663	0	0	0.01008202	0	0	
4800.00000006	0.01061248	0	0	0.01041277	0	0	0.01007449	0	0	
4900.00000006	0.0106831	0	0	0.01047933	0	0	0.01007083	0	0	
5000.00000006	0.01075419	0	0	0.01054632	0	0	0.0100692	0	0	
5100.00000006	0.01082575	0	0	0.01061374	0	0	0.01006866	0	0	
5200.00000007	0.01089779	0	0	0.01068158	0	0	0.01006869	0	0	
5300.00000007	0.01097029	0	0	0.01074985	0	0	0.01006902	0	0	
5400.00000007	0.01104328	0	0	0.01081855	0	0	0.01006951	0	0	
5500.00000007	0.01111674	0	0	0.01088769	0	0	0.01007009	0	0	
5600.00000008	0.01119069	0	0	0.01095726	0	0	0.01007071	0	0	
5700.00000008	0.01126513	0	0	0.01102727	0	0	0.01007135	0	0	
5800.00000008	0.01134005	0	0	0.01109773	0	0	0.010072	0	0	
5900.00000008	0.01141547	0	0	0.01116863	0	0	0.01007267	0	0	
6000.00000008	0.01149138	0	0	0.01123998	0	0	0.01007333	0	0	
6100.00000009	0.01156779	0	0	0.01131178	0	0	0.010074	0	0	
6200.00000009	0.01164471	0	0	0.01138403	0	0	0.01007467	0	0	
6300.00000009	0.01172213	0	0	0.01145674	0	0	0.01007534	0	0	
6400.00000009	0.01180005	0	0	0.0115299	0	0	0.01007601	0	0	
6500.0000001	0.01187849	0	0	0.01160353	0	0	0.01007668	0	0	
6600.0000001	0.01195745	0	0	0.01167763	0	0	0.01007735	0	0	
6700.0000001	0.01203692	0	0	0.01175219	0	0	0.01007802	0	0	
6800.0000001	0.01211691	0	0	0.01182722	0	0	0.01007869	0	0	
6900.0000001	0.01219743	0	0	0.01190272	0	0	0.01007936	0	0	
7000.00000011	0.01227848	0	0	0.0119787	0	0	0.01008003	0	0	
7100.00000011	0.01236006	0	0	0.01205516	0	0	0.0100807	0	0	
7200.00000011	0.01244218	0	0	0.01213211	0	0	0.01008137	0	0	
7300.00000011	0.01252483	0	0	0.01220953	0	0	0.01008204	0	0	
