TIME	R1:1	R2:1	R3:1	R1:2	R2:2	R3:2	
0	0	0	0	0	0	0	
100	0	0	0	0	0	0	
200	0	0	0	0	0	0	
300	0	0	0	0	0	0	
400	0	0	0	0	0	0	
500	0	0	0	0	0	0	
600	0	0	0	0	0	0	
700	0	0	0	0	0	0	
800	0	0	0	0	0	0	
900	0	0	0	0	0	0	
1000	0	0	0	0	0	0	
1100	0	0	0	0	0	0	
1200	0	0	0	0	0	0	
1300	0	0	0	0	0	0	
1400	0	0	0	0	0	0	
1500	0	0	0	0	0	0	
1600	0	0	0	0	0	0	
1700	0	0	0	0	0	0	
1800	0	0	0	0	0	0	
1900	0	0	0	0	0	0	
2000	0	0	0	0	0	0	
2100	0	0	0	0	0	0	
2200	0	0	0	0	0	0	
2300	0	0	0	0	0	0	
2400.00000001	0	0	0	0	0	0	
2500.00000001	0	0	0	0	0	0	
2600.00000001	0	0	0	0	0	0	
2700.00000001	0	0	0	0	0	0	
2800.00000001	0	0	0	0	0	0	
2900.00000002	0	0	0	0	0	0	
3000.00000002	0	0	0	0	0	0	
3100.00000002	0	0	0	0	0	0	
3200.00000002	0	0	0	0	0	0	
3300.00000003	0	0	0	0	0	0	
3400.00000003	0	0	0	0	0	0	
3500.00000003	0	0	0	0	0	0	
3600.00000003	0	0	0	0	0	0	
3700.00000003	0	0.01115301	0	0	0.01415865	0	
3800.00000004	0	0.01001975	0	0	0.01099201	0	
3900.00000004	0	0.01002548	0	0	0.01031667	0	
4000.00000004	0	0.01003755	0	0	0.01010849	0	
4100.00000004	0	0.01005335	0	0	0.01004458	0	
4200.00000005	0	0.01007134	0	0	0.01002501	0	
4300.00000005	0	0.0100906	0	0	0.01001902	0	
4400.00000005	0	0.01011059	0	0	0.01001719	0	
4500.00000005	0	0.01013101	0	0	0.01001663	0	
4600.00000005	0	0.01015169	0	0	0.01001645	0	
4700.00000006	0	0.01017253	0	0	0.0100164	0	
4800.00000006	0	0.01019349	0	0	0.01001639	0	
4900.00000006	0	0.01021454	0	0	0.01001638	0	
5000.00000006	0	0.01023565	0	0	0.01001638	0	
5100.00000006	0	0.01025681	0	0	0.01001638	0	
5200.00000007	0	0.01027803	0	0	0.01001638	0	
5300.00000007	0	0.01029929	0	0	0.01001638	0	
5400.00000007	0	0.0103206	0	0	0.01001638	0	
5500.00000007	0	0.01034195	0	0	0.01001638	0	
5600.00000008	0	0.01036335	0	0	0.01001638	0	
5700.00000008	0	0.01038479	0	0	0.01001638	0	
5800.00000008	0	0.01040627	0	0	0.01001638	0	
5900.00000008	0	0.0104278	0	0	0.01001638	0	
6000.00000008	0	0.01044937	0	0	0.01001638	0	
6100.00000009	0	0.01047099	0	0	0.01001638	0	
6200.00000009	0	0.01049265	0	0	0.01001638	0	
6300.00000009	0	0.01051436	0	0	0.01001638	0	
6400.00000009	0	0.01053611	0	0	0.01001638	0	
6500.0000001	0	0.0105579	0	0	0.01001638	0	
6600.0000001	0	0.01057974	0	0	0.01001638	0	
6700.0000001	0	0.01060162	0	0	0.01001638	0	
6800.0000001	0	0.01062355	0	0	0.01001638	0	
6900.0000001	0	0.01064552	0	0	0.01001638	0	
7000.00000011	0	0.01066754	0	0	0.01001638	0	
7100.00000011	0	0.0106896	0	0	0.01001638	0	
7200.00000011	0	0.01071171	0	0	0.01001638	0	
7300.00000011	0	0.01073386	0	0	0.01001638	0	
7400.00000012	0	0.01075606	0	0	0.01001638	0	
7500.00000012	0	0.0107783	0	0	0.01001638	0	
7600.00000012	0	0.01080059	0	0	0.01001638	0	
7700.00000012	0	0.01082292	0	0	0.01001638	0	
7800.00000012	0	0.0108453	0	0	0.01001638	0	
7900.00000013	0	0.01086773	0	0	0.01001638	0	
8000.00000013	0	0.0108902	0	0	0.01001638	0	
8100.00000013	0	0.01091271	0	0	0.01001638	0	
8200.00000013	0	0.01093528	0	0	0.01001638	0	
8300.00000013	0	0.01095788	0	0	0.01001638	0	
8400.00000014	0	0.01098054	0	0	0.01001638	0	
8500.00000014	0	0.01100324	0	0	0.01001638	0	
