TIME	R3:1	R3:2	R3:3	R3:4	R3:5	R3:6	R3:7	R3:8	R3:9	R3:10	R3:11	R3:12	R3:13	R3:14	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2400.00000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2500.00000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2600.00000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2700.00000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2800.00000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2900.00000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3000.00000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3100.00000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3200.00000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3300.00000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3400.00000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3500.00000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3600.00000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3700.00000003	0.01096828	0.01092778	0.01088747	0.01083136	0.01077721	0.01071867	0.01065427	0.01367842	0.01359486	0.01351203	0.01339728	0.01328713	0.01316874	0.0130393	
3800.00000004	0.00989603	0.00980946	0.00972376	0.00960521	0.00949162	0.00936976	0.0092368	0.01070255	0.01056492	0.01043004	0.01024571	0.01007148	0.00988709	0.00968887	
3900.00000004	0.0099817	0.0098448	0.00970994	0.00952449	0.00934803	0.00916004	0.00895652	0.01011927	0.009946	0.00977692	0.00954694	0.00933073	0.00910312	0.00885977	
4000.00000004	0.01008537	0.00989729	0.00971293	0.00946093	0.00922277	0.00897082	0.00870015	0.0099831	0.00976922	0.00956106	0.00927885	0.00901453	0.00873734	0.00844225	
4100.00000004	0.01020036	0.00996008	0.00972572	0.00940727	0.00910837	0.00879437	0.00845964	0.00998529	0.00972557	0.00947365	0.00913351	0.00881647	0.00848567	0.0081355	
4200.00000005	0.01032259	0.01002905	0.00974415	0.00935933	0.00900059	0.00862638	0.00823052	0.01003028	0.00972183	0.00942386	0.00902354	0.00865254	0.00826776	0.00786316	
4300.00000005	0.01044966	0.01010178	0.00976581	0.00931469	0.008897	0.00846435	0.00801019	0.01008866	0.00973002	0.00938512	0.00892423	0.00849978	0.0080624	0.00760577	
4400.00000005	0.01058022	0.0101769	0.00978932	0.00927197	0.00879623	0.00830689	0.00779717	0.01015141	0.00974178	0.00934968	0.00882865	0.00835191	0.00786394	0.00735823	
4500.00000005	0.01071349	0.01025364	0.00981391	0.00923041	0.0086975	0.00815319	0.00759058	0.01021579	0.00975462	0.00931529	0.00873482	0.0082072	0.0076708	0.00711906	
4600.00000005	0.01084906	0.01033155	0.00983913	0.00918958	0.00860038	0.00800279	0.00738986	0.01028094	0.0097678	0.00928129	0.00864219	0.00806513	0.00748249	0.0068877	
4700.00000006	0.01098667	0.01041039	0.00986475	0.00914924	0.00850463	0.00785542	0.00719466	0.01034663	0.00978109	0.00924749	0.00855059	0.00792555	0.00729881	0.00666383	
4800.00000006	0.01112621	0.01049001	0.00989061	0.00910924	0.00841009	0.00771089	0.00700472	0.01041277	0.00979442	0.00921384	0.00845997	0.00778838	0.00711961	0.0064472	
4900.00000006	0.0112676	0.01057035	0.00991665	0.00906951	0.00831669	0.00756908	0.00681984	0.01047933	0.00980778	0.00918031	0.00837031	0.00765357	0.00694478	0.00623757	
5000.00000006	0.01141083	0.01065134	0.00994281	0.00903002	0.00822437	0.00742991	0.00663985	0.01054632	0.00982117	0.00914691	0.00828159	0.00752107	0.00677422	0.00603471	
5100.00000006	0.01155589	0.01073299	0.00996907	0.00899072	0.0081331	0.00729331	0.00646461	0.01061374	0.00983457	0.00911363	0.0081938	0.00739085	0.00660782	0.00583842	
5200.00000007	0.01170278	0.01081527	0.00999542	0.00895162	0.00804285	0.00715922	0.00629398	0.01068158	0.00984799	0.00908047	0.00810694	0.00726287	0.00644548	0.00564847	
5300.00000007	0.01185152	0.01089817	0.01002185	0.00891269	0.00795361	0.0070276	0.00612783	0.01074985	0.00986142	0.00904742	0.00802099	0.00713709	0.0062871	0.00546466	
5400.00000007	0.01200212	0.01098171	0.01004835	0.00887394	0.00786535	0.00689838	0.00596606	0.01081855	0.00987488	0.0090145	0.00793594	0.00701347	0.00613259	0.00528681	
5500.00000007	0.01215461	0.01106588	0.01007492	0.00883536	0.00777808	0.00677153	0.00580853	0.01088769	0.00988835	0.0089817	0.00785179	0.00689198	0.00598185	0.00511471	
5600.00000008	0.01230899	0.01115068	0.01010156	0.00879695	0.00769177	0.006647	0.00565515	0.01095726	0.00990184	0.00894901	0.00776852	0.00677257	0.0058348	0.00494819	
5700.00000008	0.01246531	0.01123613	0.01012827	0.00875871	0.00760642	0.00652476	0.0055058	0.01102727	0.00991535	0.00891644	0.00768613	0.00665523	0.00569134	0.00478707	
5800.00000008	0.01262357	0.01132221	0.01015505	0.00872064	0.00752201	0.00640475	0.00536037	0.01109773	0.00992888	0.00888399	0.00760461	0.0065399	0.00555139	0.00463116	
5900.00000008	0.0127838	0.01140894	0.01018189	0.00868273	0.00743853	0.00628694	0.00521877	0.01116863	0.00994243	0.00885166	0.00752394	0.00642656	0.00541486	0.00448031	
6000.00000008	0.01294603	0.01149632	0.01020881	0.00864499	0.00735598	0.00617128	0.0050809	0.01123998	0.00995599	0.00881944	0.00744413	0.00631517	0.00528167	0.00433436	
6100.00000009	0.01311027	0.01158435	0.0102358	0.00860741	0.00727434	0.00605774	0.00494665	0.01131178	0.00996958	0.00878734	0.00736515	0.00620569	0.00515174	0.00419314	
6200.00000009	0.01327656	0.01167305	0.01026285	0.00856999	0.0071936	0.00594629	0.00481594	0.01138403	0.00998318	0.00875535	0.00728701	0.00609811	0.005025	0.0040565	
6300.00000009	0.01344491	0.01176241	0.01028997	0.00853274	0.00711376	0.00583687	0.00468866	0.01145674	0.0099968	0.00872348	0.00720969	0.00599238	0.00490135	0.00392429	
