beta	R3(final):5	R3(final):6	R3(final):7	R3(final):8	R3(final):9	R3(final):10	R3(final):11	R3(final):12	R3(final):13	R3(final):14	R3(final):15	R3(final):16	R3(final):17	R3(final):18	
0	0.51106905	0.25241656	0.06668882	0.01229268	0.0014295	0.00009378	0.00000278	0.00918828	0	0.0000997	0	0	0	0	
0.05263158	0.90748042	0.79815407	0.55731233	0.28966939	0.10326465	0.01637656	0.00054227	0.04804452	0.00058152	0.00058152	0	0	0	0	
0.10526316	0.91574971	0.81449893	0.58376006	0.31397957	0.11738627	0.02046979	0.00071159	0.05168953	0.00063159	0.00063159	0	0	0	0	
0.15789474	0.91861061	0.82019754	0.59320051	0.32290519	0.12270835	0.02213423	0.00078459	0.05303015	0.00065022	0.00065022	0	0	0	0	
0.21052632	0.92007679	0.82312365	0.59808574	0.32756948	0.12551524	0.02303907	0.00082533	0.05372607	0.00065995	0.00065995	0	0	0	0	
0.26315789	0.92097305	0.82491337	0.60108432	0.33044586	0.12725405	0.02360906	0.0008514	0.0541521	0.00066591	0.00066591	0	0	0	0	
0.31578947	0.92157941	0.8261243	0.60311702	0.33240082	0.12843895	0.02400166	0.00086954	0.0544397	0.00066995	0.00066995	0	0	0	0	
0.36842105	0.92201769	0.82699953	0.60458785	0.33381767	0.12929913	0.02428883	0.00088291	0.05464692	0.00067286	0.00067286	0	0	0	0	
0.42105263	0.92234964	0.82766233	0.60570248	0.33489252	0.12995244	0.02450815	0.00089317	0.05480331	0.00067506	0.00067506	0	0	0	0	
0.47368421	0.92260995	0.82818201	0.60657683	0.33573631	0.13046573	0.02468121	0.00090131	0.05492553	0.00067678	0.00067678	0	0	0	0	
0.52631579	0.92281965	0.82860061	0.60728134	0.33641655	0.13087978	0.0248213	0.00090792	0.05502367	0.00067816	0.00067816	0	0	0	0	
0.57894737	0.92299226	0.8289451	0.60786127	0.33697673	0.13122093	0.02493703	0.00091339	0.05510422	0.0006793	0.0006793	0	0	0	0	
0.63157895	0.92313684	0.82923365	0.60834709	0.33744616	0.13150691	0.02503429	0.00091801	0.05517151	0.00068024	0.00068024	0	0	0	0	
0.68421053	0.92325975	0.82947888	0.60876006	0.33784529	0.13175015	0.02511716	0.00092195	0.05522857	0.00068105	0.00068105	0	0	0	0	
0.73684211	0.92336552	0.82968991	0.60911547	0.33818885	0.13195958	0.02518864	0.00092535	0.05527757	0.00068174	0.00068174	0	0	0	0	
0.78947368	0.92345752	0.82987345	0.60942458	0.33848772	0.1321418	0.02525092	0.00092832	0.0553201	0.00068234	0.00068234	0	0	0	0	
0.84210526	0.92353827	0.83003454	0.60969593	0.3387501	0.13230181	0.02530569	0.00093094	0.05535736	0.00068286	0.00068286	0	0	0	0	
0.89473684	0.92360974	0.83017709	0.60993604	0.33898231	0.13244344	0.02535421	0.00093326	0.05539028	0.00068333	0.00068333	0	0	0	0	
0.94736842	0.92367343	0.83030412	0.61015002	0.33918928	0.13256969	0.02539751	0.00093533	0.05541957	0.00068374	0.0000014	0	0	0	0	
1	0.92373055	0.83041804	0.61034194	0.33937491	0.13268294	0.02543639	0.00093719	0.0554458	0.00068411	0.0000014	0	0	0	0	
