pref_ratio	R3(final):11	R3(final):12	R3(final):13	R3(final):14	
1	0.92854496	0.57888142	0.86323196	0.48257301	
1.37931034	0.93158724	0.58147972	0.86908077	0.48695211	
1.75862069	0.93448478	0.58405097	0.87478459	0.49132174	
2.13793103	0.93724524	0.58659561	0.88034276	0.49568196	
2.51724138	0.93987584	0.58911407	0.88575481	0.50003283	
2.89655172	0.9423834	0.59160677	0.89102045	0.50437438	
3.27586207	0.94477436	0.59407412	0.8961396	0.50870666	
3.65517241	0.94705478	0.59651652	0.90111238	0.51302972	
4.03448276	0.94923036	0.59893436	0.90593905	0.51734359	
4.4137931	0.95130652	0.60132801	0.91062006	0.52164832	
4.79310345	0.95328833	0.60369786	0.91515604	0.52594394	
5.17241379	0.9551806	0.60604426	0.91954774	0.5302305	
5.55172414	0.95698786	0.60836758	0.92379609	0.53450801	
5.93103448	0.9587144	0.61066816	0.92790216	0.53877652	
6.31034483	0.96036424	0.61294634	0.93186713	0.54303606	
6.68965517	0.96194122	0.61520246	0.93569235	0.54728665	
7.06896552	0.96344892	0.61743684	0.93937925	0.55152832	
7.44827586	0.96489077	0.61964981	0.94292942	0.5557611	
7.82758621	0.96626998	0.62184167	0.94634452	0.55998501	
8.20689655	0.9675896	0.62401274	0.94962635	0.56420008	
8.5862069	0.9688525	0.62616332	0.95277677	0.56840633	
8.96551724	0.97006141	0.6282937	0.95579777	0.57260378	
9.34482759	0.97121892	0.63040416	0.95869141	0.57679245	
9.72413793	0.97232745	0.63249499	0.96145982	0.58097236	
10.10344828	0.97338932	0.63456648	0.96410523	0.58514352	
10.48275862	0.97440673	0.63661888	0.96662992	0.58930595	
10.86206897	0.97538174	0.63865246	0.96903626	0.59345967	
11.24137931	0.97631632	0.6406675	0.97132666	0.59760469	
11.62068966	0.97721234	0.64266423	0.9735036	0.60174103	
12	0.97807156	0.64464292	0.97556962	0.60586868	
