sigmaf	R3(final):2	R3(final):3	
0.00005476	0.02530866	0.0187512	
0.00006063	0.0261905	0.01880575	
0.00006649	0.02710215	0.01886042	
0.00007236	0.02804454	0.01891523	
0.00007823	0.02901867	0.01897016	
0.00008409	0.03002554	0.01902521	
0.00008996	0.03106619	0.0190804	
0.00009582	0.03214169	0.01913571	
0.00010169	0.03325314	0.01919115	
0.00010756	0.03440166	0.01924671	
0.00011342	0.03558842	0.01930241	
0.00011929	0.03681461	0.01935823	
0.00012516	0.03808146	0.01941418	
0.00013102	0.03939021	0.01947026	
0.00013689	0.04074217	0.01952646	
