sigmaf	R3(final):3	R3(final):4	
0.00005476	0.79002142	0.51317417	
0.00005908	0.80341328	0.51373915	
0.00006341	0.81590471	0.51430579	
0.00006773	0.82755626	0.51487409	
0.00007205	0.83842532	0.51544407	
0.00007637	0.84856602	0.5160157	
0.0000807	0.85802918	0.51658899	
0.00008502	0.86686238	0.51716394	
0.00008934	0.87511001	0.51774055	
0.00009366	0.88281341	0.51831881	
0.00009799	0.890011	0.51889871	
0.00010231	0.89673849	0.51948026	
0.00010663	0.90302896	0.52006346	
0.00011095	0.90891308	0.5206483	
0.00011528	0.91441926	0.52123478	
0.0001196	0.9195738	0.52182289	
0.00012392	0.92440105	0.52241264	
0.00012824	0.92892354	0.52300402	
0.00013257	0.93316213	0.52359702	
0.00013689	0.93713614	0.52419165	
