TIME	R1.NR	R2.NR	R3.NR	R1.R	R2.R	R3.R	
0	0	0	0	0	0	0	
100	0	0	0	0	0	0	
200	0	0	0	0	0	0	
300	0	0	0	0	0	0	
400	0	0	0	0	0	0	
500	0	0	0	0	0	0	
600	0	0	0	0	0	0	
700	0	0	0	0	0	0	
800	0	0	0	0	0	0	
900	0	0	0	0	0	0	
1000	0	0	0	0	0	0	
1100	0	0	0	0	0	0	
1200	0	0	0	0	0	0	
1300	0	0	0	0	0	0	
1400	0	0	0	0	0	0	
1500	0	0	0	0	0	0	
1600	0	0	0	0	0	0	
1700	0	0	0	0	0	0	
1800	0	0	0	0	0	0	
1900	0	0	0	0	0	0	
2000	0	0	0	0	0	0	
2100	0	0	0	0	0	0	
2200	0	0	0	0	0	0	
2300	0	0	0	0	0	0	
2400.00000001	0	0	0	0	0	0	
2500.00000001	0	0	0	0	0	0	
2600.00000001	0	0	0	0	0	0	
2700.00000001	0	0	0	0	0	0	
2800.00000001	0	0	0	0	0	0	
2900.00000002	0	0	0	0	0	0	
3000.00000002	0	0	0	0	0	0	
3100.00000002	0	0	0	0	0	0	
3200.00000002	0	0	0	0	0	0	
3300.00000003	0	0	0	0	0	0	
3400.00000003	0	0	0	0	0	0	
3500.00000003	0	0	0	0	0	0	
3600.00000003	0	0	0	0	0	0	
3700.00000003	0.01010574	0.01035967	0.01146139	0.01006595	0.01031707	0.01150815	
3800.00000004	0.00915188	0.0092673	0.01022369	0.01002421	0.01015124	0.00927738	
3900.00000004	0.00920853	0.0092476	0.01023281	0.01078924	0.01083654	0.00853674	
4000.00000004	0.00926666	0.00924431	0.01029418	0.01145398	0.01143061	0.00795897	
4100.00000004	0.00932593	0.00925017	0.01038642	0.01202543	0.01193624	0.00750832	
4200.00000005	0.00938606	0.00926124	0.01049711	0.01251435	0.01236167	0.0071589	
4300.00000005	0.00944684	0.00927525	0.01061908	0.01293231	0.01271691	0.0068912	
4400.00000005	0.00950815	0.00929092	0.01074825	0.0132908	0.01301257	0.00668954	
4500.00000005	0.00956993	0.00930754	0.01088227	0.01360052	0.01325888	0.00654099	
4600.00000005	0.00963214	0.00932469	0.01101983	0.01387098	0.01346509	0.00643484	
4700.00000006	0.00969476	0.00934214	0.01116018	0.01411032	0.01363924	0.00636225	
4800.00000006	0.00975778	0.00935978	0.0113029	0.01432533	0.01378812	0.00631604	
4900.00000006	0.00982119	0.00937752	0.01144776	0.01452156	0.01391726	0.00629043	
5000.00000006	0.009885	0.00939532	0.01159464	0.01470347	0.01403116	0.0062808	
5100.00000006	0.0099492	0.00941316	0.01174348	0.0148746	0.01413337	0.00628355	
5200.00000007	0.0100138	0.00943102	0.01189425	0.01503771	0.01422669	0.00629583	
5300.00000007	0.01007879	0.00944891	0.01204696	0.01519497	0.0143133	0.00631545	
5400.00000007	0.01014418	0.0094668	0.0122016	0.01534806	0.0143949	0.0063407	
5500.00000007	0.01020997	0.00948471	0.0123582	0.01549826	0.01447279	0.00637029	
5600.00000008	0.01027616	0.00950262	0.01251677	0.01564656	0.01454796	0.00640322	
5700.00000008	0.01034275	0.00952054	0.01267733	0.01579373	0.01462118	0.00643873	
5800.00000008	0.01040974	0.00953846	0.0128399	0.01594033	0.01469301	0.00647624	
5900.00000008	0.01047714	0.0095564	0.01300451	0.0160868	0.01476391	0.00651532	
6000.00000008	0.01054495	0.00957433	0.01317119	0.01623348	0.0148342	0.00655563	
6100.00000009	0.01061317	0.00959227	0.01333994	0.01638061	0.01490412	0.00659694	
6200.00000009	0.01068181	0.00961022	0.01351081	0.0165284	0.01497388	0.00663906	
6300.00000009	0.01075085	0.00962817	0.01368381	0.01667699	0.01504361	0.00668185	
6400.00000009	0.01082031	0.00964612	0.01385897	0.01682649	0.01511342	0.0067252	
6500.0000001	0.01089019	0.00966407	0.01403632	0.01697698	0.01518338	0.00676905	
6600.0000001	0.01096049	0.00968203	0.01421587	0.01712853	0.01525356	0.00681333	
6700.0000001	0.01103122	0.00969999	0.01439767	0.01728119	0.015324	0.006858	
