TIME	R1.NR	R2.NR	R3.NR	R1.R	R2.R	R3.R	
0	0	0	0	0	0	0	
100	0	0	0	0	0	0	
200	0	0	0	0	0	0	
300	0	0	0	0	0	0	
400	0	0	0	0	0	0	
500	0	0	0	0	0	0	
600	0	0	0	0	0	0	
700	0	0	0	0	0	0	
800	0	0	0	0	0	0	
900	0	0	0	0	0	0	
1000	0	0	0	0	0	0	
1100	0	0	0	0	0	0	
1200	0	0	0	0	0	0	
1300	0	0	0	0	0	0	
1400	0	0	0	0	0	0	
1500	0	0	0	0	0	0	
1600	0	0	0	0	0	0	
1700	0	0	0	0	0	0	
1800	0	0	0	0	0	0	
1900	0	0	0	0	0	0	
2000	0	0	0	0	0	0	
2100	0	0	0	0	0	0	
2200	0	0	0	0	0	0	
2300	0	0	0	0	0	0	
2400.00000001	0	0	0	0	0	0	
2500.00000001	0	0	0	0	0	0	
2600.00000001	0	0	0	0	0	0	
2700.00000001	0	0	0	0	0	0	
2800.00000001	0	0	0	0	0	0	
2900.00000002	0	0	0	0	0	0	
3000.00000002	0	0	0	0	0	0	
3100.00000002	0	0	0	0	0	0	
3200.00000002	0	0	0	0	0	0	
3300.00000003	0	0	0	0	0	0	
3400.00000003	0	0	0	0	0	0	
3500.00000003	0	0	0	0	0	0	
3600.00000003	0	0	0	0	0	0	
3700.00000003	0.01106764	0.01368317	0.0231318	0.01147096	0.01413883	0.02258612	
3800.00000004	0.01043069	0.01179788	0.02296106	0.0134253	0.01511673	0.01836827	
3900.00000004	0.01087891	0.01164756	0.02428247	0.01616669	0.01726703	0.01612455	
4000.00000004	0.01135286	0.01162085	0.02593817	0.01868055	0.0191415	0.01465201	
4100.00000004	0.01184922	0.01166207	0.02796342	0.0209645	0.02074763	0.01383221	
4200.00000005	0.01236611	0.01173845	0.03032982	0.02307155	0.02213585	0.01349481	
4300.00000005	0.01290283	0.01183132	0.03300199	0.02506849	0.02336569	0.01349732	
4400.00000005	0.01345926	0.01193012	0.03595387	0.02701718	0.02449143	0.013734	
4500.00000005	0.01403551	0.01202884	0.03917004	0.02896777	0.0255566	0.01413048	
4600.00000005	0.0146318	0.01212401	0.04264316	0.03095799	0.02659324	0.01463642	
4700.00000006	0.01524837	0.01221357	0.04637123	0.033015	0.02762339	0.01521902	
4800.00000006	0.01588546	0.01229625	0.05035552	0.03515795	0.02866141	0.01585774	
4900.00000006	0.01654329	0.01237126	0.05459908	0.03740034	0.02971615	0.01654032	
5000.00000006	0.01722206	0.01243808	0.0591059	0.039752	0.03079277	0.01725981	
5100.00000006	0.01792192	0.01249633	0.06388027	0.04222044	0.03189409	0.0180126	
5200.00000007	0.01864301	0.01254577	0.06892647	0.04481185	0.03302152	0.01879703	
5300.00000007	0.01938539	0.01258619	0.07424853	0.04753163	0.0341756	0.01961254	
5400.00000007	0.0201491	0.01261747	0.07985013	0.05038479	0.03535644	0.02045918	
5500.00000007	0.02093414	0.0126395	0.08573447	0.05337618	0.03656382	0.02133729	
5600.00000008	0.02174043	0.01265224	0.09190426	0.0565105	0.03779738	0.02224735	
5700.00000008	0.02256785	0.01265564	0.09836169	0.05979241	0.03905661	0.02318987	
5800.00000008	0.02341623	0.0126497	0.10510836	0.06322654	0.04034091	0.02416539	
5900.00000008	0.02428532	0.01263444	0.1121453	0.06681742	0.04164955	0.02517441	
6000.00000008	0.02517481	0.01260989	0.11947292	0.07056953	0.04298173	0.02621742	
6100.00000009	0.02608434	0.01257612	0.127091	0.07448728	0.04433654	0.02729486	
6200.00000009	0.02701345	0.01253319	0.13499868	0.07857491	0.04571294	0.02840714	
6300.00000009	0.02796161	0.01248121	0.14319441	0.08283658	0.04710982	0.02955463	
6400.00000009	0.02892824	0.01242029	0.15167592	0.08727626	0.04852595	0.03073764	
6500.0000001	0.02991266	0.01235055	0.16044024	0.09189773	0.04995998	0.03195644	
6600.0000001	0.03091412	0.01227215	0.16948365	0.09670457	0.05141046	0.03321125	
6700.0000001	0.03193177	0.01218523	0.17880164	0.10170011	0.05287585	0.03450223	
