TIME	R1:1	R2:1	R3:1	Prev:1	R1:2	R2:2	R3:2	Prev:2	R1:3	R2:3	R3:3	Prev:3	
0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.01	
100	0	0	0	0.95248643	0	0	0	0.95248643	0	0	0	0.95248643	
200	0	0	0	0.98538902	0	0	0	0.98538902	0	0	0	0.98538902	
300	0	0	0	0.98538902	0	0	0	0.98538902	0	0	0	0.98538902	
400	0	0	0	0.98538902	0	0	0	0.98538902	0	0	0	0.98538902	
500	0	0	0	0.98538902	0	0	0	0.98538902	0	0	0	0.98538902	
600	0	0	0	0.98538902	0	0	0	0.98538902	0	0	0	0.98538902	
700	0	0	0	0.98538902	0	0	0	0.98538902	0	0	0	0.98538902	
800	0	0	0	0.82103478	0	0	0	0.82103478	0	0	0	0.82103478	
900	0	0	0	0.82096026	0	0	0	0.82096026	0	0	0	0.82096026	
1000	0	0	0	0.82096026	0	0	0	0.82096026	0	0	0	0.82096026	
1100	0	0	0	0.82096026	0	0	0	0.82096026	0	0	0	0.82096026	
1200	0	0	0	0.82096026	0	0	0	0.82096026	0	0	0	0.82096026	
1300	0	0	0	0.82096026	0	0	0	0.82096026	0	0	0	0.82096026	
1400	0	0	0	0.82096026	0	0	0	0.82096026	0	0	0	0.82096026	
1500	0	0	0	0.81789781	0	0	0	0.81789781	0	0	0	0.81789781	
1600	0	0	0	0.81119771	0	0	0	0.81119771	0	0	0	0.81119771	
1700	0	0	0	0.80742348	0	0	0	0.80742348	0	0	0	0.80742348	
1800	0	0	0	0.80529341	0	0	0	0.80529341	0	0	0	0.80529341	
1900	0	0	0	0.80409132	0	0	0	0.80409132	0	0	0	0.80409132	
2000	0	0	0	0.80341295	0	0	0	0.80341295	0	0	0	0.80341295	
2100	0	0	0	0.80303014	0	0	0	0.80303014	0	0	0	0.80303014	
2200	0	0	0	0.80281412	0	0	0	0.80281412	0	0	0	0.80281412	
2300	0	0	0	0.80269221	0	0	0	0.80269221	0	0	0	0.80269221	
2400.00000001	0	0	0	0.80262342	0	0	0	0.80262342	0	0	0	0.80262342	
2500.00000001	0	0	0	0.8025846	0	0	0	0.8025846	0	0	0	0.8025846	
2600.00000001	0	0	0	0.8025627	0	0	0	0.8025627	0	0	0	0.8025627	
2700.00000001	0	0	0	0.80255034	0	0	0	0.80255034	0	0	0	0.80255034	
2800.00000001	0	0	0	0.80254336	0	0	0	0.80254336	0	0	0	0.80254336	
2900.00000002	0	0	0	0.80253942	0	0	0	0.80253942	0	0	0	0.80253942	
3000.00000002	0	0	0	0.8025372	0	0	0	0.8025372	0	0	0	0.8025372	
3100.00000002	0	0	0	0.80253595	0	0	0	0.80253595	0	0	0	0.80253595	
3200.00000002	0	0	0	0.80253524	0	0	0	0.80253524	0	0	0	0.80253524	
3300.00000003	0	0	0	0.80253484	0	0	0	0.80253484	0	0	0	0.80253484	
3400.00000003	0	0	0	0.80253462	0	0	0	0.80253462	0	0	0	0.80253462	
3500.00000003	0	0	0	0.80253449	0	0	0	0.80253449	0	0	0	0.80253449	
3600.00000003	0	0	0	0.80253442	0	0	0	0.80253442	0	0	0	0.80253442	
3700.00000003	0.01096766	0	0	0.82014087	0	0.01115301	0	0.82038006	0	0	0.01096827	0.81920572	
3800.00000004	0.00993471	0	0	0.82618452	0	0.01001975	0	0.82644945	0	0	0.00989601	0.82477038	
3900.00000004	0.00999972	0	0	0.82947144	0	0.01002548	0	0.8297479	0	0	0.00998169	0.82778254	
4000.00000004	0.01006529	0	0	0.83132613	0	0.01003754	0	0.83160904	0	0	0.01008536	0.82948312	
4100.00000004	0.01013166	0	0	0.83237274	0	0.01005334	0	0.83265928	0	0	0.01020034	0.83044401	
4200.00000005	0.01019876	0	0	0.8329634	0	0.01007134	0	0.83325199	0	0	0.01032257	0.83098765	
4300.00000005	0.01026645	0	0	0.83329678	0	0.01009059	0	0.83358652	0	0	0.01044964	0.83129592	
4400.00000005	0.01033468	0	0	0.83348498	0	0.01011058	0	0.83377537	0	0	0.0105802	0.83147141	
4500.00000005	0.01040342	0	0	0.83359126	0	0.010131	0	0.83388202	0	0	0.01071347	0.83157202	
4600.00000005	0.01047263	0	0	0.83365132	0	0.01015168	0	0.83394228	0	0	0.01084903	0.83163039	
4700.00000006	0.01054232	0	0	0.83368528	0	0.01017253	0	0.83397636	0	0	0.01098664	0.83166495	
4800.00000006	0.01061248	0	0	0.83370453	0	0.01019349	0	0.83399568	0	0	0.01112617	0.83168609	
4900.00000006	0.0106831	0	0	0.83371547	0	0.01021453	0	0.83400666	0	0	0.01126757	0.83169969	
5000.00000006	0.01075419	0	0	0.83372173	0	0.01023564	0	0.83401293	0	0	0.0114108	0.83170905	
5100.00000006	0.01082575	0	0	0.83372534	0	0.0102568	0	0.83401656	0	0	0.01155585	0.83171604	
5200.00000007	0.01089779	0	0	0.83372746	0	0.01027801	0	0.83401868	0	0	0.01170274	0.83172171	
5300.00000007	0.01097029	0	0	0.83372874	0	0.01029928	0	0.83401996	0	0	0.01185148	0.83172667	
5400.00000007	0.01104328	0	0	0.83372955	0	0.01032058	0	0.83402077	0	0	0.01200208	0.83173123	
5500.00000007	0.01111674	0	0	0.83373008	0	0.01034194	0	0.8340213	0	0	0.01215456	0.8317356	
5600.00000008	0.01119069	0	0	0.83373047	0	0.01036333	0	0.83402168	0	0	0.01230894	0.83173988	
5700.00000008	0.01126513	0	0	0.83373077	0	0.01038477	0	0.83402198	0	0	0.01246526	0.83174413	
5800.00000008	0.01134005	0	0	0.83373103	0	0.01040626	0	0.83402223	0	0	0.01262351	0.83174839	
5900.00000008	0.01141547	0	0	0.83373126	0	0.01042779	0	0.83402246	0	0	0.01278374	0.83175267	
6000.00000008	0.01149138	0	0	0.83373148	0	0.01044936	0	0.83402266	0	0	0.01294597	0.83175699	
6100.00000009	0.01156779	0	0	0.83373169	0	0.01047097	0	0.83402286	0	0	0.01311021	0.83176135	
6200.00000009	0.01164471	0	0	0.83373189	0	0.01049264	0	0.83402306	0	0	0.01327649	0.83176576	
6300.00000009	0.01172213	0	0	0.8337321	0	0.01051434	0	0.83402325	0	0	0.01344484	0.83177022	
6400.00000009	0.01180005	0	0	0.8337323	0	0.01053609	0	0.83402345	0	0	0.01361528	0.83177474	
6500.0000001	0.01187849	0	0	0.83373251	0	0.01055788	0	0.83402364	0	0	0.01378784	0.83177931	
6600.0000001	0.01195745	0	0	0.83373271	0	0.01057972	0	0.83402383	0	0	0.01396254	0.83178393	
6700.0000001	0.01203692	0	0	0.83373292	0	0.0106016	0	0.83402402	0	0	0.0141394	0.8317886	
6800.0000001	0.01211691	0	0	0.83373313	0	0.01062353	0	0.83402421	0	0	0.01431846	0.83179334	
6900.0000001	0.01219743	0	0	0.83373334	0	0.0106455	0	0.8340244	0	0	0.01449973	0.83179813	
7000.00000011	0.01227848	0	0	0.83373355	0	0.01066752	0	0.83402459	0	0	0.01468325	0.83180297	
7100.00000011	0.01236006	0	0	0.83373376	0	0.01068958	0	0.83402479	0	0	0.01486903	0.83180788	
7200.00000011	0.01244218	0	0	0.83373397	0	0.01071169	0	0.83402498	0	0	0.01505712	0.83181284	
7300.00000011	0.01252483	0	0	0.83373419	0	0.01073384	0	0.83402517	0	0	0.01524753	0.83181786	
7400.00000012	0.01260803	0	0	0.8337344	0	0.01075604	0	0.83402537	0	0	0.01544029	0.83182294	
7500.00000012	0.01269177	0	0	0.83373462	0	0.01077828	0	0.83402556	0	0	0.01563543	0.83182808	
7600.00000012	0.01277606	0	0	0.83373484	0	0.01080056	0	0.83402576	0	0	0.01583298	0.83183328	
7700.00000012	0.0128609	0	0	0.83373506	0	0.0108229	0	0.83402595	0	0	0.01603296	0.83183855	
7800.00000012	0.0129463	0	0	0.83373528	0	0.01084528	0	0.83402615	0	0	0.01623541	0.83184387	
7900.00000013	0.01303226	0	0	0.8337355	0	0.0108677	0	0.83402634	0	0	0.01644035	0.83184926	
8000.00000013	0.01311878	0	0	0.83373573	0	0.01089017	0	0.83402654	0	0	0.01664781	0.83185471	
8100.00000013	0.01320587	0	0	0.83373595	0	0.01091268	0	0.83402673	0	0	0.01685782	0.83186023	
8200.00000013	0.01329353	0	0	0.83373618	0	0.01093525	0	0.83402693	0	0	0.01707041	0.83186581	
8300.00000013	0.01338176	0	0	0.83373641	0	0.01095785	0	0.83402713	0	0	0.01728562	0.83187146	
8400.00000014	0.01347057	0	0	0.83373664	0	0.01098051	0	0.83402733	0	0	0.01750346	0.83187717	
8500.00000014	0.01355996	0	0	0.83373687	0	0.01100321	0	0.83402752	0	0	0.01772398	0.83188295	
8600.00000014	0.01364994	0	0	0.8337371	0	0.01102595	0	0.83402772	0	0	0.0179472	0.8318888	
8700.00000014	0.0137405	0	0	0.83373734	0	0.01104874	0	0.83402792	0	0	0.01817316	0.83189471	
8800.00000015	0.01383166	0	0	0.83373758	0	0.01107158	0	0.83402812	0	0	0.01840188	0.8319007	
8900.00000015	0.01392341	0	0	0.83373781	0	0.01109447	0	0.83402832	0	0	0.0186334	0.83190676	
9000.00000015	0.01401577	0	0	0.83373805	0	0.0111174	0	0.83402852	0	0	0.01886774	0.83191288	
9100.00000015	0.01410872	0	0	0.83373829	0	0.01114038	0	0.83402872	0	0	0.01910495	0.83191908	
9200.00000015	0.01420229	0	0	0.83373854	0	0.0111634	0	0.83402892	0	0	0.01934506	0.83192535	
9300.00000016	0.01429647	0	0	0.83373878	0	0.01118647	0	0.83402912	0	0	0.01958809	0.83193169	
9400.00000016	0.01439126	0	0	0.83373903	0	0.01120959	0	0.83402932	0	0	0.01983408	0.83193811	
9500.00000016	0.01448667	0	0	0.83373927	0	0.01123276	0	0.83402953	0	0	0.02008307	0.8319446	
9600.00000016	0.0145827	0	0	0.83373952	0	0.01125597	0	0.83402973	0	0	0.02033509	0.83195116	
9700.00000017	0.01467937	0	0	0.83373977	0	0.01127923	0	0.83402993	0	0	0.02059018	0.8319578	
9800.00000017	0.01477666	0	0	0.83374003	0	0.01130254	0	0.83403013	0	0	0.02084836	0.83196452	
9900.00000017	0.01487459	0	0	0.83374028	0	0.01132589	0	0.83403034	0	0	0.02110968	0.83197131	
10000.00000017	0.01497315	0	0	0.83374054	0	0.0113493	0	0.83403054	0	0	0.02137416	0.83197818	
10100.00000017	0.01507236	0	0	0.83374079	0	0.01137275	0	0.83403075	0	0	0.02164185	0.83198513	
10200.00000018	0.01517222	0	0	0.83374105	0	0.01139624	0	0.83403095	0	0	0.02191278	0.83199217	
10300.00000018	0.01527273	0	0	0.83374131	0	0.01141979	0	0.83403116	0	0	0.022187	0.83199928	
10400.00000018	0.01537389	0	0	0.83374158	0	0.01144338	0	0.83403136	0	0	0.02246452	0.83200647	
10500.00000018	0.01547572	0	0	0.83374184	0	0.01146702	0	0.83403157	0	0	0.0227454	0.83201374	
10600.00000018	0.0155782	0	0	0.83374211	0	0.01149071	0	0.83403178	0	0	0.02302966	0.8320211	
10700.00000019	0.01568136	0	0	0.83374237	0	0.01151445	0	0.83403198	0	0	0.02331736	0.83202854	
10800.00000019	0.01578519	0	0	0.83374264	0	0.01153824	0	0.83403219	0	0	0.02360852	0.83203606	
10900.00000019	0.01588969	0	0	0.83374291	0	0.01156207	0	0.8340324	0	0	0.02390318	0.83204367	
11000.00000019	0.01599487	0	0	0.83374319	0	0.01158596	0	0.83403261	0	0	0.02420138	0.83205137	
11100.0000002	0.01610074	0	0	0.83374346	0	0.01160989	0	0.83403282	0	0	0.02450317	0.83205915	
11200.0000002	0.0162073	0	0	0.83374374	0	0.01163387	0	0.83403302	0	0	0.02480858	0.83206702	
11300.0000002	0.01631455	0	0	0.83374402	0	0.0116579	0	0.83403323	0	0	0.02511766	0.83207498	
11400.0000002	0.0164225	0	0	0.8337443	0	0.01168198	0	0.83403344	0	0	0.02543043	0.83208303	
11500.0000002	0.01653115	0	0	0.83374458	0	0.0117061	0	0.83403365	0	0	0.02574695	0.83209117	
11600.00000021	0.01664051	0	0	0.83374486	0	0.01173028	0	0.83403387	0	0	0.02606725	0.8320994	
11700.00000021	0.01675058	0	0	0.83374515	0	0.0117545	0	0.83403408	0	0	0.02639137	0.83210772	
11800.00000021	0.01686137	0	0	0.83374543	0	0.01177878	0	0.83403429	0	0	0.02671937	0.83211614	
11900.00000021	0.01697287	0	0	0.83374572	0	0.0118031	0	0.8340345	0	0	0.02705127	0.83212464	
12000.00000022	0.0170851	0	0	0.83374601	0	0.01182748	0	0.83403471	0	0	0.02738713	0.83213324	
12100.00000022	0.01719806	0	0	0.83374631	0	0.0118519	0	0.83403493	0	0	0.02772698	0.83214194	
12200.00000022	0.01731176	0	0	0.8337466	0	0.01187637	0	0.83403514	0	0	0.02807086	0.83215074	
12300.00000022	0.01742619	0	0	0.8337469	0	0.01190089	0	0.83403535	0	0	0.02841883	0.83215963	
12400.00000022	0.01754136	0	0	0.8337472	0	0.01192546	0	0.83403557	0	0	0.02877093	0.83216861	
12500.00000023	0.01765728	0	0	0.8337475	0	0.01195009	0	0.83403578	0	0	0.02912719	0.8321777	
12600.00000023	0.01777395	0	0	0.8337478	0	0.01197476	0	0.834036	0	0	0.02948767	0.83218689	
12700.00000023	0.01789139	0	0	0.83374811	0	0.01199948	0	0.83403621	0	0	0.0298524	0.83219618	
12800.00000023	0.01800958	0	0	0.83374841	0	0.01202425	0	0.83403643	0	0	0.03022145	0.83220556	
12900.00000024	0.01812854	0	0	0.83374872	0	0.01204907	0	0.83403664	0	0	0.03059484	0.83221505	
13000.00000024	0.01824826	0	0	0.83374903	0	0.01207395	0	0.83403686	0	0	0.03097263	0.83222465	
13100.00000024	0.01836877	0	0	0.83374934	0	0.01209887	0	0.83403708	0	0	0.03135486	0.83223435	
13200.00000024	0.01849006	0	0	0.83374966	0	0.01212385	0	0.8340373	0	0	0.03174158	0.83224415	
13300.00000024	0.01861213	0	0	0.83374997	0	0.01214887	0	0.83403751	0	0	0.03213284	0.83225406	
13400.00000025	0.01873499	0	0	0.83375029	0	0.01217395	0	0.83403773	0	0	0.03252869	0.83226407	
13500.00000025	0.01885865	0	0	0.83375061	0	0.01219907	0	0.83403795	0	0	0.03292917	0.8322742	
13600.00000025	0.01898311	0	0	0.83375094	0	0.01222425	0	0.83403817	0	0	0.03333432	0.83228443	
13700.00000025	0.01910837	0	0	0.83375126	0	0.01224948	0	0.83403839	0	0	0.03374421	0.83229477	
13800.00000025	0.01923444	0	0	0.83375159	0	0.01227476	0	0.83403861	0	0	0.03415888	0.83230522	
13900.00000026	0.01936133	0	0	0.83375192	0	0.01230009	0	0.83403883	0	0	0.03457837	0.83231578	
14000.00000026	0.01948904	0	0	0.83375225	0	0.01232547	0	0.83403905	0	0	0.03500275	0.83232646	
14100.00000026	0.01961758	0	0	0.83375258	0	0.01235091	0	0.83403927	0	0	0.03543205	0.83233725	
14200.00000026	0.01974694	0	0	0.83375292	0	0.01237639	0	0.8340395	0	0	0.03586633	0.83234815	
14300.00000027	0.01987715	0	0	0.83375325	0	0.01240193	0	0.83403972	0	0	0.03630564	0.83235916	
14400.00000027	0.02000819	0	0	0.83375359	0	0.01242752	0	0.83403994	0	0	0.03675003	0.8323703	
