TIME	R1:1	R2:1	R3:1	Prev:1	R1:2	R2:2	R3:2	Prev:2	R1:3	R2:3	R3:3	Prev:3	
0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.01	
100	0	0	0	0.02609997	0	0	0	0.02609997	0	0	0	0.02609997	
200	0	0	0	0.79955884	0	0	0	0.79955884	0	0	0	0.79955884	
300	0	0	0	0.90056202	0	0	0	0.90056202	0	0	0	0.90056202	
400	0	0	0	0.90088777	0	0	0	0.90088777	0	0	0	0.90088777	
500	0	0	0	0.9008887	0	0	0	0.9008887	0	0	0	0.9008887	
600	0	0	0	0.90088871	0	0	0	0.90088871	0	0	0	0.90088871	
700	0	0	0	0.90088871	0	0	0	0.90088871	0	0	0	0.90088871	
800	0	0	0	0.30967918	0	0	0	0.30967918	0	0	0	0.30967918	
900	0	0	0	0.27934253	0	0	0	0.27934253	0	0	0	0.27934253	
1000	0	0	0	0.2774184	0	0	0	0.2774184	0	0	0	0.2774184	
1100	0	0	0	0.27727846	0	0	0	0.27727846	0	0	0	0.27727846	
1200	0	0	0	0.2772682	0	0	0	0.2772682	0	0	0	0.2772682	
1300	0	0	0	0.27726744	0	0	0	0.27726744	0	0	0	0.27726744	
1400	0	0	0	0.27726739	0	0	0	0.27726739	0	0	0	0.27726739	
1500	0	0	0	0.2760594	0	0	0	0.2760594	0	0	0	0.2760594	
1600	0	0	0	0.27223216	0	0	0	0.27223216	0	0	0	0.27223216	
1700	0	0	0	0.26985041	0	0	0	0.26985041	0	0	0	0.26985041	
1800	0	0	0	0.26848541	0	0	0	0.26848541	0	0	0	0.26848541	
1900	0	0	0	0.26771207	0	0	0	0.26771207	0	0	0	0.26771207	
2000	0	0	0	0.26727497	0	0	0	0.26727497	0	0	0	0.26727497	
2100	0	0	0	0.2670281	0	0	0	0.2670281	0	0	0	0.2670281	
2200	0	0	0	0.26688872	0	0	0	0.26688872	0	0	0	0.26688872	
2300	0	0	0	0.26681005	0	0	0	0.26681005	0	0	0	0.26681005	
2400.00000001	0	0	0	0.26676565	0	0	0	0.26676565	0	0	0	0.26676565	
2500.00000001	0	0	0	0.26674059	0	0	0	0.26674059	0	0	0	0.26674059	
2600.00000001	0	0	0	0.26672645	0	0	0	0.26672645	0	0	0	0.26672645	
2700.00000001	0	0	0	0.26671847	0	0	0	0.26671847	0	0	0	0.26671847	
2800.00000001	0	0	0	0.26671397	0	0	0	0.26671397	0	0	0	0.26671397	
2900.00000002	0	0	0	0.26671143	0	0	0	0.26671143	0	0	0	0.26671143	
3000.00000002	0	0	0	0.26670999	0	0	0	0.26670999	0	0	0	0.26670999	
3100.00000002	0	0	0	0.26670918	0	0	0	0.26670918	0	0	0	0.26670918	
3200.00000002	0	0	0	0.26670873	0	0	0	0.26670873	0	0	0	0.26670873	
3300.00000003	0	0	0	0.26670847	0	0	0	0.26670847	0	0	0	0.26670847	
3400.00000003	0	0	0	0.26670832	0	0	0	0.26670832	0	0	0	0.26670832	
3500.00000003	0	0	0	0.26670824	0	0	0	0.26670824	0	0	0	0.26670824	
3600.00000003	0	0	0	0.2667082	0	0	0	0.2667082	0	0	0	0.2667082	
3700.00000003	0.01105792	0	0	0.27076507	0	0.01115542	0	0.27061557	0	0	0.01112292	0.27001852	
3800.00000004	0.00996478	0	0	0.27421028	0	0.00998526	0	0.27427901	0	0	0.009965	0.27392101	
3900.00000004	0.01002088	0	0	0.27540121	0	0.00998529	0	0.27549926	0	0	0.01003188	0.27512339	
4000.00000004	0.01008075	0	0	0.27600823	0	0.00998979	0	0.27611636	0	0	0.01010493	0.27571747	
4100.00000004	0.01014089	0	0	0.27634567	0	0.00999463	0	0.27645894	0	0	0.01017983	0.27604613	
4200.00000005	0.01020142	0	0	0.27653567	0	0.00999976	0	0.27665174	0	0	0.01025612	0.27623105	
4300.00000005	0.01026232	0	0	0.27664289	0	0.01000505	0	0.27676047	0	0	0.01033346	0.27633536	
4400.00000005	0.0103236	0	0	0.27670344	0	0.01001044	0	0.27682181	0	0	0.01041164	0.27639424	
4500.00000005	0.01038525	0	0	0.27673767	0	0.01001587	0	0.27685643	0	0	0.01049056	0.27642749	
4600.00000005	0.01044726	0	0	0.27675704	0	0.01002134	0	0.27687595	0	0	0.01057015	0.27644628	
4700.00000006	0.01050964	0	0	0.27676804	0	0.01002683	0	0.27688697	0	0	0.0106504	0.27645691	
4800.00000006	0.0105724	0	0	0.2767743	0	0.01003233	0	0.27689319	0	0	0.01073128	0.27646294	
4900.00000006	0.01063552	0	0	0.2767779	0	0.01003784	0	0.2768967	0	0	0.01081278	0.27646637	
5000.00000006	0.01069902	0	0	0.27678	0	0.01004335	0	0.27689867	0	0	0.0108949	0.27646834	
5100.00000006	0.01076289	0	0	0.27678124	0	0.01004887	0	0.27689979	0	0	0.01097764	0.27646948	
5200.00000007	0.01082714	0	0	0.27678201	0	0.01005439	0	0.27690042	0	0	0.01106101	0.27647015	
5300.00000007	0.01089177	0	0	0.27678251	0	0.01005992	0	0.27690077	0	0	0.011145	0.27647056	
5400.00000007	0.01095678	0	0	0.27678285	0	0.01006545	0	0.27690097	0	0	0.01122963	0.27647082	
5500.00000007	0.01102217	0	0	0.27678311	0	0.01007098	0	0.27690108	0	0	0.01131489	0.276471	
5600.00000008	0.01108795	0	0	0.27678333	0	0.01007652	0	0.27690114	0	0	0.0114008	0.27647113	
5700.00000008	0.01115412	0	0	0.27678351	0	0.01008206	0	0.27690117	0	0	0.01148734	0.27647123	
5800.00000008	0.01122068	0	0	0.27678368	0	0.0100876	0	0.27690119	0	0	0.01157454	0.27647132	
5900.00000008	0.01128763	0	0	0.27678385	0	0.01009314	0	0.2769012	0	0	0.01166239	0.2764714	
6000.00000008	0.01135497	0	0	0.27678401	0	0.01009869	0	0.2769012	0	0	0.0117509	0.27647148	
6100.00000009	0.01142272	0	0	0.27678417	0	0.01010424	0	0.2769012	0	0	0.01184007	0.27647156	
6200.00000009	0.01149086	0	0	0.27678432	0	0.01010979	0	0.2769012	0	0	0.01192992	0.27647163	
6300.00000009	0.0115594	0	0	0.27678448	0	0.01011535	0	0.2769012	0	0	0.01202043	0.2764717	
6400.00000009	0.01162835	0	0	0.27678464	0	0.01012091	0	0.2769012	0	0	0.01211163	0.27647178	
6500.0000001	0.01169771	0	0	0.27678479	0	0.01012647	0	0.2769012	0	0	0.0122035	0.27647185	
6600.0000001	0.01176747	0	0	0.27678495	0	0.01013204	0	0.27690119	0	0	0.01229607	0.27647193	
6700.0000001	0.01183764	0	0	0.27678511	0	0.01013761	0	0.27690119	0	0	0.01238933	0.276472	
6800.0000001	0.01190823	0	0	0.27678527	0	0.01014318	0	0.27690119	0	0	0.01248328	0.27647208	
